
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 12: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=330 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  3.300000E+002	  7.990178E+000	  5.045214E+002	  6.645605E+002	  3.884813E-001	  8.852611E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.038496E+000	  7.385813E-001
         0.5000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645606E+002	  3.884814E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.116901E+000	  7.385813E-001
         1.0000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645605E+002	  3.884814E-001	  8.852611E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.195307E+000	  7.385813E-001
         1.5000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645607E+002	  3.884814E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.116901E+000	  7.385813E-001
         2.0000	  3.300000E+002	  7.990178E+000	  5.045213E+002	  6.645605E+002	  3.884813E-001	  8.852610E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.038496E+000	  7.385813E-001
         2.5000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645607E+002	  3.884814E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.116900E+000	  7.385813E-001
         3.0000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645606E+002	  3.884814E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.195307E+000	  7.385813E-001
         3.5000	  3.300000E+002	  7.990178E+000	  5.045214E+002	  6.645606E+002	  3.884813E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.116902E+000	  7.385813E-001
         4.0000	  3.300000E+002	  7.990178E+000	  5.045213E+002	  6.645605E+002	  3.884813E-001	  8.852610E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.038496E+000	  7.385813E-001
         4.5000	  3.300000E+002	  7.990178E+000	  5.045213E+002	  6.645605E+002	  3.884813E-001	  8.852611E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.116900E+000	  7.385813E-001
         5.0000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645606E+002	  3.884814E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.195307E+000	  7.385813E-001
         5.5000	  3.300000E+002	  7.990178E+000	  5.045215E+002	  6.645607E+002	  3.884814E-001	  8.852612E-001	 -1.023517E+000	 -8.935000E-001	  9.290040E-003	  0.000000E+000	  4.116903E+000	  7.385813E-001
