
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 13: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=350 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  3.500000E+002	  8.474431E+000	  4.848179E+002	  6.697935E+002	  3.733096E-001	  8.922319E-001	 -1.452754E+000	 -8.935000E-001	  9.405099E-003	  0.000000E+000	  3.610135E+000	  7.752311E-001
         0.5000	  3.500000E+002	  8.474431E+000	  4.848177E+002	  6.697932E+002	  3.733094E-001	  8.922314E-001	 -1.452754E+000	 -8.935000E-001	  9.405099E-003	  0.000000E+000	  3.619525E+000	  7.752311E-001
         1.0000	  3.500000E+002	  8.474431E+000	  4.848180E+002	  6.697936E+002	  3.733097E-001	  8.922320E-001	 -1.452754E+000	 -8.935000E-001	  9.405091E-003	  0.000000E+000	  3.645180E+000	  7.752311E-001
         1.5000	  3.500000E+002	  8.474431E+000	  4.848177E+002	  6.697932E+002	  3.733095E-001	  8.922315E-001	 -1.452754E+000	 -8.935000E-001	  9.405099E-003	  0.000000E+000	  3.680225E+000	  7.752311E-001
         2.0000	  3.500000E+002	  8.474430E+000	  4.848179E+002	  6.697934E+002	  3.733097E-001	  8.922319E-001	 -1.452754E+000	 -8.935000E-001	  9.405091E-003	  0.000000E+000	  3.715270E+000	  7.752311E-001
         2.5000	  3.500000E+002	  8.474431E+000	  4.848178E+002	  6.697933E+002	  3.733096E-001	  8.922316E-001	 -1.452754E+000	 -8.935000E-001	  9.405091E-003	  0.000000E+000	  3.740924E+000	  7.752311E-001
         3.0000	  3.500000E+002	  8.474431E+000	  4.848177E+002	  6.697932E+002	  3.733095E-001	  8.922315E-001	 -1.452754E+000	 -8.935000E-001	  9.405099E-003	  0.000000E+000	  3.750314E+000	  7.752311E-001
         3.5000	  3.500000E+002	  8.474430E+000	  4.848179E+002	  6.697935E+002	  3.733097E-001	  8.922320E-001	 -1.452754E+000	 -8.935000E-001	  9.405091E-003	  0.000000E+000	  3.740925E+000	  7.752311E-001
         4.0000	  3.500000E+002	  8.474431E+000	  4.848180E+002	  6.697935E+002	  3.733097E-001	  8.922319E-001	 -1.452754E+000	 -8.935000E-001	  9.405091E-003	  0.000000E+000	  3.715271E+000	  7.752311E-001
         4.5000	  3.500000E+002	  8.474431E+000	  4.848179E+002	  6.697935E+002	  3.733096E-001	  8.922319E-001	 -1.452754E+000	 -8.935000E-001	  9.405099E-003	  0.000000E+000	  3.680226E+000	  7.752311E-001
         5.0000	  3.500000E+002	  8.474431E+000	  4.848178E+002	  6.697933E+002	  3.733096E-001	  8.922317E-001	 -1.452754E+000	 -8.935000E-001	  9.405099E-003	  0.000000E+000	  3.645181E+000	  7.752311E-001
         5.5000	  3.500000E+002	  8.474431E+000	  4.848176E+002	  6.697930E+002	  3.733094E-001	  8.922313E-001	 -1.452754E+000	 -8.935000E-001	  9.405091E-003	  0.000000E+000	  3.619527E+000	  7.752311E-001
