
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 16: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=430 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  4.300000E+002	  1.041144E+001	  3.840401E+002	  6.738351E+002	  2.957108E-001	  8.976158E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.426454E+000	  1.043759E+000
         0.5000	  4.300000E+002	  1.041144E+001	  3.840409E+002	  6.738359E+002	  2.957114E-001	  8.976169E-001	 -2.469441E+000	 -8.935000E-001	  9.479191E-003	  0.000000E+000	  2.514361E+000	  1.043759E+000
         1.0000	  4.300000E+002	  1.041144E+001	  3.840407E+002	  6.738357E+002	  2.957112E-001	  8.976165E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.450009E+000	  1.043759E+000
         1.5000	  4.300000E+002	  1.041144E+001	  3.840405E+002	  6.738354E+002	  2.957110E-001	  8.976162E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.473563E+000	  1.043759E+000
         2.0000	  4.300000E+002	  1.041144E+001	  3.840409E+002	  6.738359E+002	  2.957114E-001	  8.976169E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.497117E+000	  1.043759E+000
         2.5000	  4.300000E+002	  1.041144E+001	  3.840405E+002	  6.738354E+002	  2.957110E-001	  8.976162E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.432765E+000	  1.043759E+000
         3.0000	  4.300000E+002	  1.041144E+001	  3.840405E+002	  6.738354E+002	  2.957110E-001	  8.976162E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.520672E+000	  1.043759E+000
         3.5000	  4.300000E+002	  1.041144E+001	  3.840409E+002	  6.738358E+002	  2.957114E-001	  8.976167E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.432766E+000	  1.043759E+000
         4.0000	  4.300000E+002	  1.041144E+001	  3.840406E+002	  6.738357E+002	  2.957113E-001	  8.976168E-001	 -2.469441E+000	 -8.935000E-001	  9.479191E-003	  0.000000E+000	  2.497117E+000	  1.043759E+000
         4.5000	  4.300000E+002	  1.041144E+001	  3.840408E+002	  6.738359E+002	  2.957113E-001	  8.976167E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.473563E+000	  1.043759E+000
         5.0000	  4.300000E+002	  1.041144E+001	  3.840406E+002	  6.738358E+002	  2.957112E-001	  8.976166E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.450008E+000	  1.043759E+000
         5.5000	  4.300000E+002	  1.041144E+001	  3.840407E+002	  6.738357E+002	  2.957112E-001	  8.976165E-001	 -2.469441E+000	 -8.935000E-001	  9.479195E-003	  0.000000E+000	  2.514360E+000	  1.043759E+000
