
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 14: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=390 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  3.900000E+002	  9.442937E+000	  4.429142E+002	  6.708080E+002	  3.410438E-001	  8.935833E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.931401E+000	  8.729243E-001
         0.5000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935837E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.988313E+000	  8.729243E-001
         1.0000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935837E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  3.045225E+000	  8.729243E-001
         1.5000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935835E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.988312E+000	  8.729243E-001
         2.0000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935837E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.931401E+000	  8.729243E-001
         2.5000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935837E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.988312E+000	  8.729243E-001
         3.0000	  3.900000E+002	  9.442937E+000	  4.429148E+002	  6.708085E+002	  3.410443E-001	  8.935840E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  3.045225E+000	  8.729243E-001
         3.5000	  3.900000E+002	  9.442937E+000	  4.429149E+002	  6.708085E+002	  3.410443E-001	  8.935840E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.988312E+000	  8.729243E-001
         4.0000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935837E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.931401E+000	  8.729243E-001
         4.5000	  3.900000E+002	  9.442937E+000	  4.429146E+002	  6.708082E+002	  3.410441E-001	  8.935837E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.988313E+000	  8.729243E-001
         5.0000	  3.900000E+002	  9.442937E+000	  4.429149E+002	  6.708085E+002	  3.410443E-001	  8.935840E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  3.045225E+000	  8.729243E-001
         5.5000	  3.900000E+002	  9.442937E+000	  4.429149E+002	  6.708085E+002	  3.410444E-001	  8.935840E-001	 -1.992284E+000	 -8.935000E-001	  9.409785E-003	  0.000000E+000	  2.988312E+000	  8.729243E-001
