
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 4: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=190 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  1.900000E+002	  4.600405E+000	  5.556959E+002	  4.892280E+002	  4.278857E-001	  6.517006E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.090244E+001	  2.449337E+000
         0.5000	  1.900000E+002	  4.600405E+000	  5.556958E+002	  4.892279E+002	  4.278856E-001	  6.517005E-001	  8.105998E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.129741E+001	  2.449336E+000
         1.0000	  1.900000E+002	  4.600405E+000	  5.556957E+002	  4.892279E+002	  4.278856E-001	  6.517005E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.100827E+001	  2.449337E+000
         1.5000	  1.900000E+002	  4.600405E+000	  5.556959E+002	  4.892279E+002	  4.278857E-001	  6.517006E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.111410E+001	  2.449337E+000
         2.0000	  1.900000E+002	  4.600405E+000	  5.556959E+002	  4.892280E+002	  4.278857E-001	  6.517006E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.121994E+001	  2.449337E+000
         2.5000	  1.900000E+002	  4.600405E+000	  5.556959E+002	  4.892279E+002	  4.278857E-001	  6.517005E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.093079E+001	  2.449337E+000
         3.0000	  1.900000E+002	  4.600405E+000	  5.556959E+002	  4.892280E+002	  4.278857E-001	  6.517006E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.132577E+001	  2.449337E+000
         3.5000	  1.900000E+002	  4.600405E+000	  5.556959E+002	  4.892279E+002	  4.278857E-001	  6.517005E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.093079E+001	  2.449337E+000
         4.0000	  1.900000E+002	  4.600405E+000	  5.556957E+002	  4.892279E+002	  4.278856E-001	  6.517005E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.121994E+001	  2.449337E+000
         4.5000	  1.900000E+002	  4.600405E+000	  5.556957E+002	  4.892279E+002	  4.278856E-001	  6.517006E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.111410E+001	  2.449337E+000
         5.0000	  1.900000E+002	  4.600404E+000	  5.556958E+002	  4.892279E+002	  4.278857E-001	  6.517006E-001	  8.106000E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.100827E+001	  2.449337E+000
         5.5000	  1.900000E+002	  4.600405E+000	  5.556957E+002	  4.892279E+002	  4.278856E-001	  6.517005E-001	  8.105998E+000	 -8.935000E-001	  1.874202E-002	  0.000000E+000	  1.129741E+001	  2.449336E+000
