
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 3: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=170 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396775E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.309794E+001	  2.871021E+000
         0.5000	  1.700000E+002	  4.116152E+000	  5.190609E+002	  4.396774E+002	  3.996767E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.357245E+001	  2.871020E+000
         1.0000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396775E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.322508E+001	  2.871021E+000
         1.5000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396774E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.335223E+001	  2.871021E+000
         2.0000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396774E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776128E-002	  0.000000E+000	  1.347937E+001	  2.871021E+000
         2.5000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396775E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.313201E+001	  2.871021E+000
         3.0000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396774E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.360652E+001	  2.871021E+000
         3.5000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396774E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.313200E+001	  2.871021E+000
         4.0000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396775E+002	  3.996769E-001	  5.856944E-001	  1.078365E+001	 -8.935000E-001	  2.776128E-002	  0.000000E+000	  1.347937E+001	  2.871021E+000
         4.5000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396774E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.335223E+001	  2.871021E+000
         5.0000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396774E+002	  3.996768E-001	  5.856943E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.322508E+001	  2.871021E+000
         5.5000	  1.700000E+002	  4.116152E+000	  5.190610E+002	  4.396775E+002	  3.996768E-001	  5.856944E-001	  1.078365E+001	 -8.935000E-001	  2.776134E-002	  0.000000E+000	  1.357245E+001	  2.871021E+000
