
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 15: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=410 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  4.100000E+002	  9.927189E+000	  4.159642E+002	  6.717056E+002	  3.202923E-001	  8.947791E-001	 -2.230904E+000	 -8.935000E-001	  9.431303E-003	  0.000000E+000	  2.661104E+000	  9.480442E-001
         0.5000	  4.100000E+002	  9.927189E+000	  4.159643E+002	  6.717057E+002	  3.202924E-001	  8.947791E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.757511E+000	  9.480344E-001
         1.0000	  4.100000E+002	  9.927189E+000	  4.159644E+002	  6.717057E+002	  3.202925E-001	  8.947793E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.686936E+000	  9.480344E-001
         1.5000	  4.100000E+002	  9.927189E+000	  4.159644E+002	  6.717057E+002	  3.202925E-001	  8.947791E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.712768E+000	  9.480344E-001
         2.0000	  4.100000E+002	  9.927189E+000	  4.159643E+002	  6.717057E+002	  3.202924E-001	  8.947791E-001	 -2.230876E+000	 -8.935000E-001	  9.431299E-003	  0.000000E+000	  2.738600E+000	  9.480344E-001
         2.5000	  4.100000E+002	  9.927189E+000	  4.159643E+002	  6.717057E+002	  3.202924E-001	  8.947791E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.668025E+000	  9.480344E-001
         3.0000	  4.100000E+002	  9.927189E+000	  4.159643E+002	  6.717057E+002	  3.202924E-001	  8.947791E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.764432E+000	  9.480344E-001
         3.5000	  4.100000E+002	  9.927189E+000	  4.159644E+002	  6.717057E+002	  3.202925E-001	  8.947792E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.668025E+000	  9.480344E-001
         4.0000	  4.100000E+002	  9.927189E+000	  4.159643E+002	  6.717057E+002	  3.202924E-001	  8.947791E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.738600E+000	  9.480344E-001
         4.5000	  4.100000E+002	  9.927189E+000	  4.159643E+002	  6.717057E+002	  3.202924E-001	  8.947792E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.712768E+000	  9.480344E-001
         5.0000	  4.100000E+002	  9.927189E+000	  4.159644E+002	  6.717057E+002	  3.202925E-001	  8.947793E-001	 -2.230876E+000	 -8.935000E-001	  9.431295E-003	  0.000000E+000	  2.686936E+000	  9.480344E-001
         5.5000	  4.100000E+002	  9.927191E+000	  4.159644E+002	  6.717058E+002	  3.202925E-001	  8.947792E-001	 -2.230876E+000	 -8.935000E-001	  9.431299E-003	  0.000000E+000	  2.757510E+000	  9.480344E-001
