
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 8: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=255 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.510844E+000	  9.184679E-001
         0.5000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839766E-001	  2.411860E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.547869E+000	  9.184680E-001
         1.0000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.637250E+000	  9.184679E-001
         1.5000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885270E+002	  4.494286E-001	  7.839768E-001	  2.411860E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.726634E+000	  9.184680E-001
         2.0000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.763655E+000	  9.184679E-001
         2.5000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885270E+002	  4.494287E-001	  7.839769E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.726631E+000	  9.184679E-001
         3.0000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.637249E+000	  9.184679E-001
         3.5000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411860E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.547868E+000	  9.184680E-001
         4.0000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.510844E+000	  9.184679E-001
         4.5000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885269E+002	  4.494286E-001	  7.839767E-001	  2.411860E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.547869E+000	  9.184680E-001
         5.0000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885270E+002	  4.494286E-001	  7.839768E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.637251E+000	  9.184679E-001
         5.5000	  2.550000E+002	  6.174228E+000	  5.836738E+002	  5.885270E+002	  4.494286E-001	  7.839768E-001	  2.411859E+000	 -8.935000E-001	  8.562773E-003	  0.000000E+000	  6.726632E+000	  9.184679E-001
