
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 7: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=235 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  2.350000E+002	  5.689974E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.542990E+000	  1.344490E+000
         0.5000	  2.350000E+002	  5.689974E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.547981E+000	  1.344491E+000
         1.0000	  2.350000E+002	  5.689974E+000	  5.863254E+002	  5.673361E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.562610E+000	  1.344490E+000
         1.5000	  2.350000E+002	  5.689974E+000	  5.863254E+002	  5.673361E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.585883E+000	  1.344490E+000
         2.0000	  2.350000E+002	  5.689975E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.616212E+000	  1.344490E+000
         2.5000	  2.350000E+002	  5.689975E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.651531E+000	  1.344490E+000
         3.0000	  2.350000E+002	  5.689974E+000	  5.863253E+002	  5.673361E+002	  4.514703E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.689435E+000	  1.344490E+000
         3.5000	  2.350000E+002	  5.689975E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679316E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.727335E+000	  1.344490E+000
         4.0000	  2.350000E+002	  5.689974E+000	  5.863253E+002	  5.673361E+002	  4.514703E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.762658E+000	  1.344491E+000
         4.5000	  2.350000E+002	  5.689974E+000	  5.863253E+002	  5.673362E+002	  4.514703E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.792986E+000	  1.344490E+000
         5.0000	  2.350000E+002	  5.689974E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.816258E+000	  1.344490E+000
         5.5000	  2.350000E+002	  5.689974E+000	  5.863254E+002	  5.673362E+002	  4.514704E-001	  7.557485E-001	  3.679318E+000	 -8.935000E-001	  8.965269E-003	  0.000000E+000	  7.830889E+000	  1.344490E+000
