
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 11: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=300 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  3.000000E+002	  7.263797E+000	  5.408231E+002	  6.406224E+002	  4.164336E-001	  8.533731E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  4.826680E+000	  7.540531E-001
         0.5000	  3.000000E+002	  7.263797E+000	  5.408230E+002	  6.406223E+002	  4.164335E-001	  8.533730E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  5.014096E+000	  7.540531E-001
         1.0000	  3.000000E+002	  7.263797E+000	  5.408231E+002	  6.406224E+002	  4.164336E-001	  8.533732E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  4.826680E+000	  7.540531E-001
         1.5000	  3.000000E+002	  7.263797E+000	  5.408230E+002	  6.406223E+002	  4.164335E-001	  8.533730E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  5.014096E+000	  7.540531E-001
         2.0000	  3.000000E+002	  7.263797E+000	  5.408231E+002	  6.406224E+002	  4.164336E-001	  8.533732E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  4.826680E+000	  7.540531E-001
         2.5000	  3.000000E+002	  7.263797E+000	  5.408230E+002	  6.406223E+002	  4.164335E-001	  8.533730E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  5.014096E+000	  7.540531E-001
         3.0000	  3.000000E+002	  7.263797E+000	  5.408231E+002	  6.406224E+002	  4.164336E-001	  8.533732E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  4.826680E+000	  7.540531E-001
         3.5000	  3.000000E+002	  7.263797E+000	  5.408231E+002	  6.406224E+002	  4.164336E-001	  8.533731E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  5.014096E+000	  7.540531E-001
         4.0000	  3.000000E+002	  7.263797E+000	  5.408230E+002	  6.406224E+002	  4.164335E-001	  8.533731E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  4.826680E+000	  7.540531E-001
         4.5000	  3.000000E+002	  7.263797E+000	  5.408231E+002	  6.406224E+002	  4.164336E-001	  8.533731E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  5.014096E+000	  7.540531E-001
         5.0000	  3.000000E+002	  7.263797E+000	  5.408230E+002	  6.406223E+002	  4.164335E-001	  8.533730E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  4.826680E+000	  7.540531E-001
         5.5000	  3.000000E+002	  7.263797E+000	  5.408230E+002	  6.406223E+002	  4.164335E-001	  8.533730E-001	  2.280668E-001	 -8.935000E-001	  8.615650E-003	  0.000000E+000	  5.014096E+000	  7.540531E-001
