
Predictions were generated on 12-May-2017 at 08:48:43 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 8: WndSpeed=1 m/s; ShearExp=0 ; RotSpeed=95 rpm; Pitch=1.75 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N1Cl    
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(-)       
         0.0000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971573E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
         0.5000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971573E+001	  2.630046E-001	  4.381909E-001	 -7.951209E-001
         1.0000	  9.500000E+001	  3.790333E+000	  5.984993E+001	  9.971573E+001	  2.630045E-001	  4.381908E-001	 -7.951209E-001
         1.5000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971571E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
         2.0000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971571E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
         2.5000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971573E+001	  2.630046E-001	  4.381909E-001	 -7.951209E-001
         3.0000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971573E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
         3.5000	  9.500000E+001	  3.790333E+000	  5.984993E+001	  9.971573E+001	  2.630045E-001	  4.381908E-001	 -7.951209E-001
         4.0000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971573E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
         4.5000	  9.500000E+001	  3.790333E+000	  5.984993E+001	  9.971573E+001	  2.630045E-001	  4.381908E-001	 -7.951209E-001
         5.0000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971573E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
         5.5000	  9.500000E+001	  3.790332E+000	  5.984993E+001	  9.971571E+001	  2.630046E-001	  4.381908E-001	 -7.951209E-001
