
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 5: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=200 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  2.000000E+002	  4.842532E+000	  5.684576E+002	  5.104109E+002	  4.377122E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  9.999724E+000	  3.360548E+000
         0.5000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104110E+002	  4.377122E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         1.0000	  2.000000E+002	  4.842532E+000	  5.684576E+002	  5.104109E+002	  4.377122E-001	  6.799183E-001	  6.845237E+000	 -8.935000E-001	  1.580504E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         1.5000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  9.999724E+000	  3.360548E+000
         2.0000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         2.5000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         3.0000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  9.999724E+000	  3.360548E+000
         3.5000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799183E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         4.0000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104110E+002	  4.377123E-001	  6.799185E-001	  6.845237E+000	 -8.935000E-001	  1.580504E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         4.5000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  9.999724E+000	  3.360548E+000
         5.0000	  2.000000E+002	  4.842532E+000	  5.684577E+002	  5.104109E+002	  4.377123E-001	  6.799184E-001	  6.845236E+000	 -8.935000E-001	  1.580507E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
         5.5000	  2.000000E+002	  4.842531E+000	  5.684576E+002	  5.104109E+002	  4.377123E-001	  6.799185E-001	  6.845237E+000	 -8.935000E-001	  1.580504E-002	  0.000000E+000	  1.029094E+001	  3.360548E+000
