
Predictions were generated on 12-May-2017 at 08:48:32 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 10: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=280 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  2.800000E+002	  6.779544E+000	  5.671930E+002	  6.157250E+002	  4.367384E-001	  8.202073E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.482321E+000	  8.334600E-001
         0.5000	  2.800000E+002	  6.779544E+000	  5.671931E+002	  6.157250E+002	  4.367385E-001	  8.202073E-001	  1.249306E+000	 -8.935000E-001	  8.348137E-003	  0.000000E+000	  5.641977E+000	  8.334599E-001
         1.0000	  2.800000E+002	  6.779545E+000	  5.671931E+002	  6.157250E+002	  4.367385E-001	  8.202072E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.641977E+000	  8.334600E-001
         1.5000	  2.800000E+002	  6.779544E+000	  5.671931E+002	  6.157250E+002	  4.367385E-001	  8.202072E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.482321E+000	  8.334600E-001
         2.0000	  2.800000E+002	  6.779545E+000	  5.671932E+002	  6.157250E+002	  4.367385E-001	  8.202071E-001	  1.249306E+000	 -8.935000E-001	  8.348137E-003	  0.000000E+000	  5.641977E+000	  8.334599E-001
         2.5000	  2.800000E+002	  6.779544E+000	  5.671930E+002	  6.157249E+002	  4.367385E-001	  8.202073E-001	  1.249308E+000	 -8.935000E-001	  8.348107E-003	  0.000000E+000	  5.641978E+000	  8.334600E-001
         3.0000	  2.800000E+002	  6.779544E+000	  5.671931E+002	  6.157250E+002	  4.367386E-001	  8.202072E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.482321E+000	  8.334600E-001
         3.5000	  2.800000E+002	  6.779544E+000	  5.671930E+002	  6.157250E+002	  4.367385E-001	  8.202074E-001	  1.249308E+000	 -8.935000E-001	  8.348107E-003	  0.000000E+000	  5.641979E+000	  8.334600E-001
         4.0000	  2.800000E+002	  6.779544E+000	  5.671930E+002	  6.157250E+002	  4.367384E-001	  8.202072E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.641976E+000	  8.334600E-001
         4.5000	  2.800000E+002	  6.779544E+000	  5.671931E+002	  6.157250E+002	  4.367385E-001	  8.202072E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.482321E+000	  8.334600E-001
         5.0000	  2.800000E+002	  6.779544E+000	  5.671931E+002	  6.157250E+002	  4.367386E-001	  8.202073E-001	  1.249307E+000	 -8.935000E-001	  8.348122E-003	  0.000000E+000	  5.641978E+000	  8.334600E-001
         5.5000	  2.800000E+002	  6.779544E+000	  5.671931E+002	  6.157250E+002	  4.367385E-001	  8.202072E-001	  1.249308E+000	 -8.935000E-001	  8.348107E-003	  0.000000E+000	  5.641978E+000	  8.334600E-001
