
Predictions were generated on 12-May-2017 at 08:48:31 using AeroDyn_driver (v1.02.00a, 12-Apr-2016)
 AeroDyn (v15.04.02a, 10-May-2017)

Case 2: WndSpeed=1.73 m/s; ShearExp=0 ; RotSpeed=160 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.5 s; Tmax=5.6 s

     Time           	RtSpeed   	RtTSR     	RtAeroPwr 	RtAeroFxh 	RtAeroCp  	RtAeroCt  	B1N7Alpha 	B1N1Cl    	B1N7Cd    	B1N1Cm    	B1N7SigCr 	B1N7SgCav 
      (s)           	(rpm)     	(-)       	(W)       	(N)       	(-)       	(-)       	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       
         0.0000	  1.600000E+002	  3.874025E+000	  4.939490E+002	  4.118408E+002	  3.803406E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.443497E+001	  3.867535E+000
         0.5000	  1.600000E+002	  3.874025E+000	  4.939490E+002	  4.118408E+002	  3.803406E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485535E+001	  3.867535E+000
         1.0000	  1.600000E+002	  3.874025E+000	  4.939490E+002	  4.118408E+002	  3.803407E-001	  5.486132E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485535E+001	  3.867535E+000
         1.5000	  1.600000E+002	  3.874025E+000	  4.939491E+002	  4.118408E+002	  3.803407E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.443497E+001	  3.867535E+000
         2.0000	  1.600000E+002	  3.874025E+000	  4.939490E+002	  4.118408E+002	  3.803406E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485535E+001	  3.867535E+000
         2.5000	  1.600000E+002	  3.874025E+000	  4.939491E+002	  4.118408E+002	  3.803407E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485535E+001	  3.867533E+000
         3.0000	  1.600000E+002	  3.874025E+000	  4.939491E+002	  4.118408E+002	  3.803407E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.443497E+001	  3.867535E+000
         3.5000	  1.600000E+002	  3.874026E+000	  4.939492E+002	  4.118409E+002	  3.803407E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582025E-002	  0.000000E+000	  1.485534E+001	  3.867532E+000
         4.0000	  1.600000E+002	  3.874025E+000	  4.939491E+002	  4.118408E+002	  3.803407E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485535E+001	  3.867535E+000
         4.5000	  1.600000E+002	  3.874025E+000	  4.939491E+002	  4.118408E+002	  3.803407E-001	  5.486131E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.443497E+001	  3.867535E+000
         5.0000	  1.600000E+002	  3.874025E+000	  4.939492E+002	  4.118409E+002	  3.803407E-001	  5.486133E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485534E+001	  3.867533E+000
         5.5000	  1.600000E+002	  3.874025E+000	  4.939492E+002	  4.118409E+002	  3.803407E-001	  5.486133E-001	  1.231151E+001	 -8.935000E-001	  3.582031E-002	  0.000000E+000	  1.485535E+001	  3.867535E+000
